  0.494812   0.044270   3.749992	  0.596088   0.038293   3.750004	  0.596088   0.038293   3.500004	  0.494812   0.044270   3.499993	
  0.596088   0.038293   3.750004	  0.697232   0.030727   3.749911	  0.697232   0.030727   3.499917	  0.596088   0.038293   3.500004	
  0.697232   0.030727   3.749911	  0.798332   0.021997   3.750222	  0.798332   0.021997   3.500208	  0.697232   0.030727   3.499917	
  0.798332   0.021997   3.750222	  0.899362   0.012671   3.749913	  0.899362   0.012671   3.499919	  0.798332   0.021997   3.500208	
  0.899362   0.012671   3.749913	  1.000000   0.000000   3.750000	  1.000000   0.000000   3.500000	  0.899362   0.012671   3.499919	
  0.000000   0.000000   3.500000	  0.089665   0.037473   3.500026	  0.089665   0.037473   3.250024	  0.000000   0.000000   3.250000	
  0.089665   0.037473   3.500026	  0.190606   0.047309   3.499988	  0.190606   0.047309   3.249989	  0.089665   0.037473   3.250024	
  0.190606   0.047309   3.499988	  0.292015   0.049985   3.500004	  0.292015   0.049985   3.250004	  0.190606   0.047309   3.249989	
  0.292015   0.049985   3.500004	  0.393453   0.048553   3.499996	  0.393453   0.048553   3.249996	  0.292015   0.049985   3.250004	
  0.393453   0.048553   3.499996	  0.494812   0.044270   3.499993	  0.494812   0.044270   3.249993	  0.393453   0.048553   3.249996	
  0.494812   0.044270   3.499993	  0.596088   0.038293   3.500004	  0.596088   0.038293   3.250003	  0.494812   0.044270   3.249993	
  0.596088   0.038293   3.500004	  0.697232   0.030727   3.499917	  0.697232   0.030727   3.249923	  0.596088   0.038293   3.250003	
  0.697232   0.030727   3.499917	  0.798332   0.021997   3.500208	  0.798332   0.021997   3.250193	  0.697232   0.030727   3.249923	
  0.798332   0.021997   3.500208	  0.899362   0.012671   3.499919	  0.899362   0.012671   3.249925	  0.798332   0.021997   3.250193	
  0.899362   0.012671   3.499919	  1.000000   0.000000   3.500000	  1.000000   0.000000   3.250000	  0.899362   0.012671   3.249925	
  0.000000   0.000000   3.250000	  0.089665   0.037473   3.250024	  0.089665   0.037473   3.000023	  0.000000   0.000000   3.000000	
  0.089665   0.037473   3.250024	  0.190606   0.047309   3.249989	  0.190606   0.047309   2.999990	  0.089665   0.037473   3.000023	
  0.190606   0.047309   3.249989	  0.292015   0.049985   3.250004	  0.292015   0.049985   3.000004	  0.190606   0.047309   2.999990	
  0.292015   0.049985   3.250004	  0.393453   0.048553   3.249996	  0.393453   0.048553   2.999997	  0.292015   0.049985   3.000004	
  0.393453   0.048553   3.249996	  0.494812   0.044270   3.249993	  0.494812   0.044270   2.999994	  0.393453   0.048553   2.999997	
  0.494812   0.044270   3.249993	  0.596088   0.038293   3.250003	  0.596088   0.038293   3.000003	  0.494812   0.044270   2.999994	
  0.596088   0.038293   3.250003	  0.697232   0.030727   3.249923	  0.697232   0.030727   2.999929	  0.596088   0.038293   3.000003	
  0.697232   0.030727   3.249923	  0.798332   0.021997   3.250193	  0.798332   0.021997   3.000178	  0.697232   0.030727   2.999929	
  0.798332   0.021997   3.250193	  0.899362   0.012671   3.249925	  0.899362   0.012671   2.999931	  0.798332   0.021997   3.000178	
  0.899362   0.012671   3.249925	  1.000000   0.000000   3.250000	  1.000000   0.000000   3.000000	  0.899362   0.012671   2.999931	
  0.000000   0.000000   3.000000	  0.089665   0.037473   3.000023	  0.089665   0.037473   2.750021	  0.000000   0.000000   2.750000	
